state,region,total_pop,men,women,hispanic_prcnt,hispanic_count,white_prcnt,white_count,black_prcnt,black_count,other_prcnt,other_count,native_prcnt,native_count,asian_prcnt,asian_count,pacific_prcnt,pacific_count,citizen,income,poverty_prcnt, poverty_count,childpoverty_prcnt,childpoverty_count,professional_prcnt,professional_count,service_prcnt,service_count,office_prcnt,office_count,construction_prcnt,construction_count,production_prcnt,production_count,drive_prcnt,drive_count,carpool_prcnt,carpool_count,transit_prcnt,transit_count,walk_prcnt,walk_count,othertrans_prcnt,othertrans_count,employed,privatework_prcnt,privatework_count,workathome_prcnt,workathome_count,meancommute,public_prcnt,public_count,selfemploy_prcnt,selfemploy_count,unemploy_prcnt,unemploy_count,familywork_prcnt,familywork_count
Indiana,Midwest,6568645,3235263,3333382,6.41,421083.24,80.51,5288487.12,9.04,594117.39,0.2,13311.1,0.18,12073.61,1.84,120793.95,0.02,1237.48,4801113,"50,532",15.41,1012223.87,22.06,1448840.82,32.08,2107420.9,17.11,1123585.24,23.27,1528358.28,8.89,583663.9,18.69,1227414.28,82.99,5451023.33,9.05,594465.55,1.1,72353.39,2.09,137587.55,1.47,96550.94,3038762,84.2,5530837.48,3.31,217381.85,24.31,11.01,723074.74,4.63,304440.52,7.87,517109.81,0.16,10301.38
Iowa,Midwest,3093526,1534595,1558931,5.43,167975.46,87.4,2703825.43,3.09,95564.05,0.33,10221.57,0.27,8483.64,2.03,62669.76,0.06,1737.93,2285126,"54,736",12.53,387543.08,15.79,488566.31,34.27,1060124.67,16.66,515321.2,23.3,720703.51,9.44,291895.12,16.35,505895.47,80.62,2494064.3,8.8,272077.99,1.09,33763.84,3.5,108177.69,1.53,47294.03,1573510,79.75,2467147.36,4.48,138603.04,19.4,13.47,416694.75,6.56,202873.06,4.95,153255.42,0.22,6906.15
Kansas,Midwest,2892987,1439862,1453125,11.17,323249.8,77.04,2228869.67,5.66,163778.27,0.74,21519.42,0.71,20475.65,2.58,74624.39,0.04,1043.77,2053919,"53,906",13.63,394171.87,17.83,515703.66,36.31,1050568.98,16.89,488528.32,22.92,663201.72,10.07,291305.09,13.81,399623.39,82.15,2376689.55,9.63,278460.51,0.48,13763.56,2.36,68252.54,1.33,38582.19,1401197,77.68,2247236.78,4.05,117176.26,17.59,16.05,464303.89,6.09,176054.93,5.98,173031.49,0.19,5533.03
Kentucky,South,4397353,2164208,2233145,3.27,143915.88,85.55,3761984.34,7.78,342227.97,0.2,8906.61,0.16,7217.14,1.24,54739.19,0.04,1689.47,3297108,"45,215",18.92,832030.25,26.27,1155097.68,32.32,1421362.71,16.92,744173.51,23.77,1045250.73,9.95,437367.51,17.05,749739.87,82.46,3625854.66,9.87,434196.45,1.02,44687.55,2.31,101761.91,1.27,55862.84,1891381,78.82,3466190.87,3.06,134647.96,25.26,15.49,681273.08,5.51,242502.61,8.65,380319.65,0.16,7208.18
Louisiana,South,4625253,2261156,2364097,4.73,218823.68,59.47,2750817.96,31.88,1474422.33,0.56,26037.93,0.54,24941.17,1.67,77331.92,0.02,1096.76,3410634,"45,727",19.81,916469.78,28.24,1306090.48,32.11,1485360.94,19.27,891315.42,23.81,1101432.78,12.3,569028.03,12.5,578036.04,82.44,3812991.9,9.83,454814.09,1.32,60880.38,1.9,87785.96,2.05,94923.45,2016049,78.62,3636531.75,2.44,112855.54,26.51,15.73,727684.21,5.51,254884.6,8.2,379268.61,0.13,6062.51
Maine,Northeast,1329100,650081,679019,1.47,19478.82,93.87,1247587.03,1.1,14585.18,0.57,7545.43,0.57,7515.03,1.1,14628.23,0,30.4,1048274,"51,494",13.94,185326.7,18.58,247006.7,35.11,466643.47,18.57,246830.37,23.89,317461.99,10.9,144840.66,11.54,153361.39,78.03,1037153.68,10.32,137171.7,0.62,8238.02,3.98,52921.92,1.63,21666.76,648687,76.89,1021952.54,5.41,71968.67,23.33,14.19,188537.17,8.81,117083.55,6.91,91818.52,0.15,2004.6
Maryland,South,5930538,2872643,3057895,9,533576.67,53.03,3144715.01,29.06,1723691.26,0.21,12351.86,0.19,11239.58,5.97,354337.42,0.02,1112.27,4182241,"75,847",10.02,594323.25,13.64,808755.18,44.25,2624459.24,17.31,1026313.28,22.64,1342455.35,7.85,465817.75,7.96,471880.31,73.58,4363966.26,9.44,560035.36,9.04,536268.86,2.47,146489.35,1.26,74928.98,2976504,72.92,4324481.75,4.2,248815.61,29.97,22.21,1317330.61,4.75,281558.39,7.48,443834.72,0.13,7419.81
Massachusetts,Northeast,6705586,3249650,3455936,10.55,707176.66,74.29,4981396.97,6.48,434236.67,0.14,9228.95,0.13,8676.19,5.96,399790.83,0.01,552.76,4850598,"70,628",11.61,778489.1,15.39,1031924.03,43.94,2946673.19,17.7,1186823.44,22.54,1511143.64,6.96,466858.74,8.85,593151.02,71.79,4813772.22,7.73,518199.07,9.49,636295.64,4.72,316765.03,1.72,115281.34,3415975,81.35,5455203.48,4.54,304643.04,24.92,12.48,836614.96,6.06,406066.34,7.62,510899.37,0.13,8497.85
Michigan,Midwest,9900571,4861973,5038598,4.7,465625.3,75.88,7512845.46,13.8,1366280.85,0.49,48341.72,0.48,47759.22,2.72,268976.23,0.01,582.51,7380136,"51,084",16.72,1655720.24,23.39,2316091.47,34.34,3400014.53,18.38,1819647.14,23.72,2348613.83,7.86,778486.06,15.68,1551964.41,82.54,8171891,8.93,884583.32,1.44,142550.63,2.21,218555.26,1.29,127952.92,4373518,83.64,8280694.49,3.61,357700.97,22.89,11.16,1104537.72,5.04,499418.51,10.01,990829.95,0.17,16442.17
Minnesota,Midwest,5419171,2692166,2727005,4.99,270369.73,81.7,4427732.04,5.43,294057.54,0.97,52339.6,0.96,51775.38,4.42,239269.03,0.01,564.22,3950807,"63,488",11.31,612780.5,14.74,798968.95,39.23,2125719.9,16.67,903122.29,23.06,1249440.6,8.01,434160.25,13.04,706907.28,78.03,4228560.3,8.79,476254.23,3.45,187141.39,2.85,154275.49,1.65,89424.2,2827195,82.16,4452403.22,5.21,282571.68,21.16,11.98,649396.49,5.69,308393.09,5.61,304081.03,0.16,8458.76
Mississippi,South,2988081,1451723,1536358,2.9,86617.26,57.38,1714455.02,37.23,1112553.65,0.41,12207.82,0.4,12020.47,0.96,28655.45,0.01,187.36,2210424,"40,593",22.62,676017.7,31.8,950301.76,30.72,917922.92,17.91,535121.13,23.44,700469.98,11.26,336376.98,16.68,498415.89,84.29,2518675.01,10.08,301269.74,0.41,12187.11,1.54,45874.36,1.47,44032,1203914,75.72,2262454.48,2.2,65841.57,26.11,18.65,557203.73,5.49,164024.01,10.51,314003.26,0.15,4367.08
Missouri,Midwest,6045448,2964003,3081445,3.86,233451.35,80.23,4850358.86,11.44,691727.87,0.46,27601.73,0.37,22516.94,1.75,105870.09,0.08,5084.78,4525035,"50,238",15.67,947506,21.92,1325037.37,34.7,2097502.06,18.18,1098907.71,24.6,1487116.53,9,543938.48,13.52,817561.73,81.47,4925483.41,9.46,572178.72,1.46,88480.88,1.97,119358.22,1.29,77763.24,2807996,81.05,4899944.12,4.32,260977.46,23.51,12.93,781414.91,5.82,351699.1,7.54,455720.52,0.19,11682.53
Montana,West,1014699,510163,504536,3.32,33671.06,86.98,882635,0.45,4575.91,6.33,64218.88,6.25,63461.21,0.67,6819.77,0.07,757.66,781250,"49,509",15.2,154255.9,19.18,194611.93,35.74,362650.12,19.26,195424.68,22.58,229151.69,12.89,130842.86,9.54,96755.67,75.03,761366.15,10.49,106397.59,0.82,8293.05,4.92,49894.82,2.38,24182.56,485446,71.68,727360.02,6.36,64533.48,17.84,18.49,187664.3,9.3,94332.33,6.34,64319.94,0.52,5239.28
Nebraska,Midwest,1869365,929606,939759,9.96,186139.85,80.77,1509869.93,4.58,85548.87,0.74,13918.4,0.69,12955.33,2.01,37638.17,0.05,963.07,1333860,"54,996",12.75,238325.55,17.05,318756.1,35.6,665403.43,16.69,312055.11,24,448581.15,10.23,191183.32,13.49,252185.91,81.17,1517445.24,9.56,178753.55,0.72,13503.97,2.84,53082.82,1.33,24870.21,968134,78.85,1474054.22,4.4,82221.17,18.08,14.14,264345.99,6.77,126626.55,4.7,87840.12,0.19,3642.56
Nevada,West,2798636,1407735,1390901,27.51,769964.12,51.99,1455066.15,8.06,225585.44,1.5,41854.84,0.86,24207.1,7.53,210728.37,0.63,17647.74,1863799,"52,431",15.46,432732.78,22.19,621055.19,27.66,774222.74,27.8,778097.99,25.96,726634.09,8.79,246016.63,9.78,273668.32,78,2182988.78,10.84,303264.41,3.61,101064.94,2.18,61084.79,2.15,60256.73,1267312,82.44,2307103.11,3.27,91563.87,22.7,12.44,348286.41,5.08,142202.69,10.5,293736.53,0.11,3067.29
New Hampshire,Northeast,1324201,653484,670717,3.2,42403.49,91.42,1210608.16,1.18,15690.57,0.17,2239.63,0.16,2150.28,2.34,31030.17,0.01,89.34,1020130,"70,303",8.93,118216.7,12,158838.14,39.73,526163.43,15.83,209664.48,24.17,320116.78,9.05,119877.11,11.19,148220.63,81.03,1073045.53,7.99,105848.46,0.86,11439.62,2.89,38290.99,1.25,16556.13,698810,79.33,1050495.5,6.02,79702.65,25.33,13.55,179397.88,7.02,92893.89,5.75,76166.09,0.11,1444.28
New Jersey,Northeast,8904413,4343027,4561386,18.96,1688186.38,57.21,5093783.12,12.71,1131770.72,0.1,8701.86,0.09,8449.36,9,801003.11,0,252.5,6053893,"72,222",10.84,964847.29,15.47,1377394.82,40.65,3619790.83,16.84,1499542.16,24.75,2203792.63,7.28,648108.29,10.47,932645.1,72,6411493.71,8.15,725341.16,10.94,973991.12,3.07,273047.19,1.87,166579.92,4281760,81.22,7231843.82,3.99,355677.42,30.06,13.93,1240452.13,4.72,420394.39,8.83,786146.37,0.14,12155.04
New Mexico,West,2084117,1032414,1051703,47.35,986910.93,39.21,817222.48,1.81,37654.55,8.54,178022.25,8.49,177018.26,1.3,27081.67,0.05,1003.99,1457632,"45,382",21.04,438551.62,29.21,608781.56,34.86,726601.26,21.09,439579.76,23.26,484701.38,11.5,239698.55,9.32,194204.05,79.62,1659351.69,10.26,213861.27,1.05,21813.5,2.26,47030.15,2,41656.26,876035,70.56,1470514.61,4.73,98634.06,19.91,22.53,469548.96,6.66,138810.7,9.31,194134.08,0.21,4287.52
New York,Northeast,19673174,9541801,10131373,18.39,3617636.36,56.77,11169069.49,14.39,2831158.49,0.23,45113.77,0.22,44125.11,7.92,1558401.35,0.01,988.67,13531404,"60,850",15.68,3084040.27,21.98,4324191.34,38.69,7611805.1,20.59,4050593.36,23.76,4674107.9,7.36,1448678.21,9.57,1882749.93,53.22,10469093.36,6.77,1332241.98,27.98,5504821.37,6.29,1237938.17,1.86,366008.16,9254578,78.28,15399571.2,3.88,762667.48,25.4,15.73,3093911.73,5.88,1157675.54,8.29,1631490.85,0.12,24544.47
North Carolina,South,9845333,4795408,5049925,8.83,869613.22,64.24,6324234.34,21.18,2084965.84,1.15,112733,1.1,108461.35,2.46,242437.57,0.04,4271.65,7107998,"47,830",17.4,1712980.26,24.92,2453730.12,35.49,3494053.63,17.84,1756153.01,23.38,2301366.18,9.6,945601.42,13.69,1347650.64,81.29,8003493.59,10.03,987561.23,1.04,102504.88,1.78,174886.81,1.31,129026.37,4372773,78.82,7759721.79,4.54,446694.97,24.67,15.22,1498113.78,5.82,573360.42,9.52,937756.25,0.17,16633.07
North Dakota,Midwest,721640,367963,353677,2.85,20532.28,87.04,628142.38,1.62,11654.92,5.25,37882.11,5.21,37623.19,1.21,8745.16,0.04,258.92,546486,"60,557",11.47,82766.65,12.94,93414.55,34.97,252376.43,17.02,122789.42,22.38,161504.12,13.25,95633.18,12.38,89356.63,79.99,577243.8,9.2,66412.68,0.45,3265.38,3.99,28780.16,1.18,8505.47,387716,74.51,537700.29,5.19,37432.05,18.14,16.83,121464.8,8.36,60294.85,2.91,21033.57,0.32,2284.9
Ohio,Midwest,11575977,5662893,5913084,3.37,390588.97,80.26,9291060.98,12.04,1393793.48,0.16,17988.58,0.15,16995.36,1.86,215477.27,0.01,993.22,8709050,"51,075",15.78,1827050.64,23.03,2665650.94,34.8,4028484.49,17.66,2044610.55,23.85,2760679.85,7.77,898998.51,15.91,1841771.38,83.44,9659538.4,7.97,922157.02,1.65,190561.54,2.31,266910.98,1.12,130143.04,5366673,82.28,9524652.32,3.5,405370.29,24.35,12.58,1456035.04,5,578800.2,8.19,948638.7,0.14,16508.59
